disease_name,symptoms,cure
Common Cold,Runny Nose  Sneezing  Cough,"Rest, stay hydrated, take vitamin C, use steam inhalation, and consider over-the-counter decongestants."
Influenza,Fever  Body Aches  Fatigue,"Drink plenty of fluids, rest, take antiviral medications if prescribed, and use fever reducers like acetaminophen."
Migraine,Headache  Sensitivity to Light  Nausea,"Rest in a dark room, use a cold compress, stay hydrated, and take prescribed migraine medications."
Sinusitis,Stuffy Nose  Facial Pain  Pressure in Head,"Use saline nasal spray, stay hydrated, inhale steam, and take antihistamines or decongestants."
Strep Throat,Sore Throat  Fever  Swollen Lymph Nodes,"Take prescribed antibiotics (penicillin or amoxicillin), drink warm fluids, and use throat lozenges."
Asthma,Shortness of Breath  Wheezing  Chest Tightness,"Use prescribed inhalers (bronchodilators), avoid allergens, and take corticosteroids if needed."
Bronchitis,Persistent Cough  Chest Congestion  Mucus,"Drink warm fluids, use a humidifier, avoid smoking, and take cough suppressants or bronchodilators."
Pneumonia,Fever  Chills  Shortness of Breath  Chest Pain,"Take prescribed antibiotics (if bacterial), get rest, stay hydrated, and use oxygen therapy if severe."
Tuberculosis,Chronic Cough  Night Sweats  Weight Loss,"Take a full course of prescribed antibiotics (isoniazid, rifampin), maintain good nutrition, and avoid spreading infection."
Ear Infection,Ear Pain  Fluid Drainage  Hearing Loss,"Take antibiotics if bacterial, use warm compresses, and take pain relievers like ibuprofen."
Conjunctivitis,Red Eyes  Itching  Discharge,"Use antibiotic or antihistamine eye drops, maintain eye hygiene, and avoid touching the eyes."
COVID-19,Fever  Cough  Loss of Smell  Shortness of Breath,"Rest, stay hydrated, monitor oxygen levels, take antiviral medications (if prescribed), and isolate."
Chickenpox,Itchy Rash  Blisters  Fever,"Take antihistamines for itching, keep skin cool, use calamine lotion, and get plenty of rest."
Measles,Fever  Rash  Cough  Conjunctivitis,"Rest, drink fluids, take vitamin A supplements, and use fever reducers if necessary."
Mumps,Swollen Glands  Fever  Muscle Pain,"Rest, apply warm compresses, drink fluids, and take pain relievers like acetaminophen."
Dengue Fever,High Fever  Joint Pain  Rash,"Rest, stay hydrated, take paracetamol for fever, and avoid NSAIDs like ibuprofen."
Typhoid Fever,High Fever  Abdominal Pain  Weakness,"Take prescribed antibiotics (ciprofloxacin or azithromycin), drink oral rehydration solutions, and eat easily digestible food."
Malaria,Fever  Chills  Sweating  Headache,"Take prescribed antimalarial drugs (artemether-lumefantrine, chloroquine) and avoid mosquito bites."
Food Poisoning,Vomiting  Diarrhea  Stomach Cramps,"Stay hydrated, drink oral rehydration solution, rest, and eat bland foods."
Gastroenteritis,Nausea  Vomiting  Diarrhea  Stomach Pain,"Drink electrolyte-rich fluids, eat small frequent meals, and take probiotics."
Ulcers,Stomach Pain  Bloating  Nausea,"Take prescribed proton pump inhibitors (omeprazole), avoid spicy foods, and reduce stress."
Appendicitis,Severe Abdominal Pain  Nausea  Fever,Immediate medical attention required; surgery (appendectomy) is the standard treatment.
Hepatitis B,Jaundice  Fatigue  Dark Urine,"Take antiviral medications if needed, avoid alcohol, and maintain a healthy diet."
Diabetes,Frequent Urination  Excessive Thirst  Fatigue,"Maintain a healthy diet, monitor blood sugar levels, exercise, and take prescribed insulin or medications."
Hypertension,High Blood Pressure  Headaches  Dizziness,"Reduce salt intake, exercise regularly, manage stress, and take prescribed antihypertensive drugs."
Heart Disease,Chest Pain  Shortness of Breath  Fatigue,"Adopt a heart-healthy diet, exercise, avoid smoking, and take prescribed medications like beta-blockers."
Stroke,Sudden Weakness  Slurred Speech  Numbness,Immediate emergency treatment required; physical therapy and medications for prevention.
Arthritis,Joint Pain  Stiffness  Swelling,"Take anti-inflammatory medications, do gentle exercises, and apply hot/cold therapy."
Osteoporosis,Bone Weakness  Frequent Fractures,"Take calcium and vitamin D supplements, do weight-bearing exercises, and take prescribed medications if needed."
Anemia,Fatigue  Pale Skin  Shortness of Breath,"Increase iron intake (green leafy vegetables, red meat), take iron supplements, and treat underlying causes."
Epilepsy,Seizures  Confusion  Loss of Consciousness,"Take prescribed anticonvulsant drugs, avoid triggers, and ensure a safe environment during seizures."
Parkinsona Disease,Tremors  Slow Movement  Stiffness,"Take prescribed dopamine-enhancing medications, do physical therapy, and engage in regular exercise."
Alzheimera Disease,Memory Loss  Confusion  Behavioral Changes,"Take prescribed medications (donepezil, memantine), maintain a routine, and ensure a supportive environment."
